시간,동작,내용
2026-04-28 12:10:13,역방향구동,스텝=200, 시간=1000ms
2026-04-28 12:10:14,서보,0도
2026-04-28 12:10:15,서보,90도
2026-04-28 12:17:31,정방향구동,스텝=200, 시간=1000ms
2026-04-28 12:17:34,정지,컨베이어 정지
2026-04-28 12:17:34,정지,컨베이어 정지
2026-04-28 12:17:34,정지,컨베이어 정지
2026-04-28 12:17:35,정지,컨베이어 정지
2026-04-28 12:17:35,정지,컨베이어 정지
2026-04-28 12:17:35,정지,컨베이어 정지
2026-04-28 12:17:35,역방향구동,스텝=200, 시간=1000ms
2026-04-28 12:17:36,정지,컨베이어 정지
2026-04-28 12:17:38,정방향구동,스텝=200, 시간=1000ms
2026-04-28 12:17:40,정지,컨베이어 정지
2026-04-28 12:17:40,역방향구동,스텝=200, 시간=1000ms
2026-04-28 12:17:42,서보,0도
2026-04-28 12:17:43,서보,0도
2026-04-28 12:17:43,서보,90도
2026-04-28 12:17:44,서보,180도
2026-04-28 15:02:35,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:03:43,서보,0도
2026-04-28 15:03:44,서보,90도
2026-04-28 15:03:45,서보,180도
2026-04-28 15:03:46,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:03:49,정지,컨베이어 정지
2026-04-28 15:03:50,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:03:52,정지,컨베이어 정지
2026-04-28 15:03:56,정방향구동,스텝=202, 시간=1000ms
2026-04-28 15:03:58,정지,컨베이어 정지
2026-04-28 15:11:40,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:11:43,정지,컨베이어 정지
2026-04-28 15:11:43,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:11:43,정지,컨베이어 정지
2026-04-28 15:11:44,서보,0도
2026-04-28 15:11:44,서보,90도
2026-04-28 15:11:45,정지,컨베이어 정지
2026-04-28 15:11:45,서보,180도
2026-04-28 15:11:46,정지,컨베이어 정지
2026-04-28 15:22:01,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:22:07,정지,컨베이어 정지
2026-04-28 15:22:07,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:22:08,정지,컨베이어 정지
2026-04-28 15:22:11,서보,0도
2026-04-28 15:22:12,서보,90도
2026-04-28 15:22:13,서보,180도
2026-04-28 15:22:19,정방향구동,스텝=202, 시간=1000ms
2026-04-28 15:22:21,정지,컨베이어 정지
2026-04-28 15:22:23,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:22:25,정지,컨베이어 정지
2026-04-28 15:22:54,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:22:56,정지,컨베이어 정지
2026-04-28 15:23:12,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:23:12,정지,컨베이어 정지
2026-04-28 15:23:13,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:23:13,정지,컨베이어 정지
2026-04-28 15:23:14,서보,0도
2026-04-28 15:23:14,서보,90도
2026-04-28 15:23:14,서보,180도
2026-04-28 15:24:08,서보,0도
2026-04-28 15:24:08,서보,90도
2026-04-28 15:24:08,서보,180도
2026-04-28 15:24:09,서보,90도
2026-04-28 15:24:09,서보,0도
2026-04-28 15:25:12,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:25:13,정지,컨베이어 정지
2026-04-28 15:25:14,서보,0도
2026-04-28 15:25:14,서보,90도
2026-04-28 15:25:15,서보,180도
2026-04-28 15:36:42,정방향구동,스텝=200, 시간=1000ms
2026-04-28 15:36:43,정지,정지
2026-04-28 15:36:43,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:36:44,정지,정지
2026-04-28 15:40:44,HOME,원점복귀
2026-04-28 15:40:46,스텝전진,이동=100, 위치=100
2026-04-28 15:40:47,스텝후진,이동=100, 위치=0
2026-04-28 15:40:48,스텝전진,이동=100, 위치=100
2026-04-28 15:40:48,스텝전진,이동=100, 위치=200
2026-04-28 15:40:49,스텝후진,이동=100, 위치=100
