시간,동작,내용
2026-04-28 12:10:22,영상시작,카메라 연결
2026-04-28 12:10:26,캡처,capture_20260428_121026.png
2026-04-28 12:10:27,영상중지,카메라 연결 해제
2026-04-28 12:17:24,영상시작,카메라 연결
2026-04-28 12:17:26,캡처,capture_20260428_121726.png
2026-04-28 14:38:01,영상시작,카메라 연결
2026-04-28 14:38:10,영상중지,카메라 연결 해제
2026-04-28 14:38:10,영상시작,카메라 연결
2026-04-28 14:39:50,영상시작,카메라 연결
2026-04-28 14:40:01,캡처,capture_20260428_144001.png
2026-04-28 14:40:02,영상중지,카메라 연결 해제
2026-04-28 14:40:04,영상시작,카메라 연결
2026-04-28 14:46:23,영상시작,카메라 연결
2026-04-28 14:58:54,영상시작,카메라 연결
2026-04-28 14:59:09,영상중지,카메라 연결 해제
2026-04-28 15:02:06,영상시작,Integrated Camera
2026-04-28 15:02:30,영상중지,카메라 연결 해제
2026-04-28 15:02:37,영상중지,카메라 연결 해제
2026-04-28 15:04:07,영상중지,카메라 연결 해제
2026-04-28 15:04:25,영상중지,카메라 연결 해제
2026-04-28 15:09:12,영상중지,카메라 연결 해제
2026-04-28 15:11:51,영상시작,Integrated Camera
2026-04-28 15:12:02,캡처,captures\capture_20260428_151202.png
2026-04-28 15:12:34,영상중지,카메라 연결 해제
2026-04-28 15:17:09,영상시작,Integrated Camera
2026-04-28 15:17:11,영상중지,카메라 연결 해제
2026-04-28 15:17:12,영상중지,카메라 연결 해제
2026-04-28 15:22:28,영상시작,Integrated Camera
2026-04-28 15:22:31,영상중지,카메라 해제
2026-04-28 15:25:37,영상중지,카메라 해제
2026-04-28 15:27:40,영상중지,카메라 해제
2026-04-28 15:27:50,영상중지,카메라 해제
2026-04-28 15:36:57,영상중지,카메라 해제
2026-04-28 15:41:05,영상중지,카메라 해제
2026-04-28 15:42:02,영상중지,카메라 해제
2026-04-28 16:00:02,영상중지,카메라 해제
2026-04-28 16:02:53,영상중지,카메라 해제
2026-04-28 16:06:03,영상중지,카메라 해제
2026-04-28 16:06:58,영상중지,카메라 해제
2026-04-28 16:07:10,영상중지,카메라 해제
2026-04-28 16:07:20,영상중지,카메라 해제
2026-04-28 16:07:28,영상중지,카메라 해제
2026-04-28 16:07:37,영상중지,카메라 해제
2026-04-28 16:07:44,영상중지,카메라 해제
2026-04-28 16:08:00,영상중지,카메라 해제
2026-04-28 16:08:12,영상중지,카메라 해제
2026-04-28 16:08:20,영상중지,카메라 해제
2026-04-28 16:08:33,영상중지,카메라 해제
2026-04-28 16:08:41,영상중지,카메라 해제
2026-04-28 16:08:53,영상중지,카메라 해제
2026-04-28 16:09:02,영상중지,카메라 해제
2026-04-28 16:09:10,영상중지,카메라 해제
2026-04-28 16:09:18,영상중지,카메라 해제
2026-04-28 16:09:26,영상중지,카메라 해제
2026-04-28 16:09:35,영상중지,카메라 해제
2026-04-28 16:09:43,영상중지,카메라 해제
2026-04-28 16:10:00,영상중지,카메라 해제
2026-04-28 16:10:38,영상중지,카메라 해제
2026-04-28 16:11:17,영상중지,카메라 해제
2026-04-28 16:11:49,영상중지,카메라 해제
2026-04-28 16:19:20,영상중지,카메라 해제
2026-04-28 16:19:46,영상중지,카메라 해제
2026-04-28 16:19:59,영상시작,Integrated Camera
2026-04-28 16:20:00,영상중지,카메라 해제
2026-04-28 16:20:01,영상시작,Integrated Camera
2026-04-28 16:20:01,영상중지,카메라 해제
2026-04-28 16:20:01,영상시작,Integrated Camera
2026-04-28 16:20:01,영상중지,카메라 해제
